rodada,data,dia da semana,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,perdedor,arena,mandante_placar,visitante_placar,mandante_estado,visitante_estado,edição
34,2018-11-15,Quinta-feira,17:00,Chapecoense,Botafogo-RJ,4-2-3-1,4-2-3-1,C. dos Santos Oliveira,J. Mannarino,Botafogo-RJ,Chapecoense,Arena Condá,0,1,SC,RJ,2018
34,2018-11-15,Quinta-feira,17:00,Flamengo,Santos,4-2-3-1,4-2-3-1,D. Silvestre Júnior,A. Stival,Flamengo,Santos, Maracanã,1,0,RJ,SP,2018
34,2018-11-15,Quinta-feira,18:59,Sao Paulo,Gremio,4-2-3-1,4-2-3-1,A. Soares Jardine,Renato Gaúcho,Empate,Empate, Morumbi,1,1,SP,RS,2018
34,2018-11-15,Quinta-feira,21:00,Internacional,America-MG,4-1-4-1,4-2-3-1,O. Hellmann,G. de Oliveira,Internacional,America-MG,Estádio José Pinheiro Borda,2,0,RS,MG,2018
35,2018-11-17,Sábado,18:59,Corinthians,Vasco,4-2-3-1,4-2-3-1,J. Ribeiro Ventura,A. Valentim do Carmo Neto,Corinthians,Vasco,Neo Química Arena,1,0,SP,RJ,2018
35,2018-11-17,Sábado,18:59,Vitoria,Athletico-PR,4-3-3,4-2-3-1,J. Burse,T. Retzalff Nunes,Athletico-PR,Vitoria, Barradão,1,2,BA,PR,2018
35,2018-11-17,Sábado,21:00,Atletico-MG,Bahia,4-2-3-1,4-2-3-1,L. Culpi,E. Alves Moreira,Atletico-MG,Bahia,Estádio Raimundo Sampaio,1,0,MG,BA,2018
35,2018-11-18,Domingo,17:00,Parana,Palmeiras,4-2-3-1,4-1-4-1,L. Cavalcanti,L. Scolari,Empate,Empate,  Estádio do Café,1,1,PR,SP,2018
35,2018-11-18,Domingo,17:01,America-MG,Santos,4-2-3-1,4-2-3-1,G. de Oliveira,A. Stival,America-MG,Santos,Estádio Raimundo Sampaio,2,1,MG,SP,2018
35,2018-11-18,Domingo,17:01,Sport,Flamengo,4-2-3-1,4-2-3-1,M. Mendes,D. Silvestre Júnior,Flamengo,Sport,Adelmar da Costa Carvalho,0,1,PE,RJ,2018
